,Sampling1,Sampling2,Sampling3,Sampling4,Sampling5
LogisticRegression,0.46113989637305697,0.866580310880829,0.9883419689119171,0.8976683937823834,0.21761658031088082
RandomForestClassifier,0.6917098445595855,1.0,1.0,1.0,0.43911917098445596
SVC,0.5544041450777202,0.7487046632124352,0.9883419689119171,0.6204663212435233,0.3626943005181347
KNeighborsClassifier,0.5971502590673575,0.9805699481865285,0.9883419689119171,0.8031088082901554,0.19041450777202074
XGBClassifier,0.6930051813471503,1.0,1.0,1.0,0.09844559585492228
